uid,locno,DAYNO,stime,etime,X_PUBLIC,Y_PUBLIC
389,4000523_1,20010789,1,1170315900,1170350100,-87.63,41.88
390,4000523_1,20001402,1,1170350280,1170370800,-87.63,41.88
391,4000523_1,20001491,1,1170371700,1170295200,-87.63,41.88
392,4000523_1,94000523,1,1170296100,1170298740,-87.63,41.9
393,4000523_1,94000523,2,1170385200,1170448200,-87.63,41.9
394,4000523_1,20001710,2,1170451800,NA,-87.7,41.95
395,4000523_1,20001757,2,1170378000,1170379800,-87.64,41.92
396,4000523_1,94000523,2,1170381600,1170385140,-87.63,41.9
397,4000528_1,10001260,1,1170298800,1170298740,NA,NA
398,4000528_2,94000528,1,1170298800,1170298740,-88.54,41.67
399,4000528_3,94000528,1,1170298800,1170298740,-88.54,41.67
400,4000548_1,94000548,1,1170298800,1170327600,-87.63,41.9
401,4000548_1,20001309,1,1170327900,1170333300,-87.63,41.88
402,4000548_1,94000548,1,1170333600,1170340200,-87.63,41.9
403,4000548_1,20001492,1,1170340800,1170341760,-87.63,41.88
404,4000548_1,20001571,1,1170341940,1170343800,-87.63,41.9
405,4000548_1,94000548,1,1170344400,1170355800,-87.63,41.9
406,4000548_1,20001711,1,1170357600,1170369000,-87.63,41.88
407,4000548_1,94000548,1,1170371100,1170298740,-87.63,41.9
408,4000548_1,94000548,2,1170385200,1170413400,-87.63,41.9
409,4000548_1,20001309,2,1170413760,1170419100,-87.63,41.88
410,4000548_1,94000548,2,1170419400,1170431100,-87.63,41.9
411,4000548_1,20001945,2,1170432180,1170435600,-87.62,41.88
412,4000548_1,20001977,2,1170436200,1170440400,-87.62,41.9
413,4000548_1,94000548,2,1170442080,1170385140,-87.63,41.9
414,4000552_1,94000552,1,1170298800,1170298740,-88.01,42.25
415,4000552_1,94000552,2,1170385200,1170385140,-88.01,42.25
416,4000552_2,94000552,1,1170298800,1170298740,-88.01,42.25
417,4000552_2,94000552,2,1170385200,1170385140,-88.01,42.25
418,4000577_1,94000577,1,1170298800,1170316800,-87.73,42.09
419,4000577_1,94000577,1,1170318600,1170322200,-87.73,42.09
420,4000577_1,10001357,1,1170322800,1170323400,-87.69,42.07
